flood,lulc,Density_River,Density_Road,Distan2river_met,Distan2road_met,aspect,curvature,dem,flowDir,slope,twi,NDVI,rainfall,NDBI,NDWI
1,0.9,0.417924831,0.164450514,0.541091272,0.144879607,0.907164338,0.384804037,0.227628657,0.181543266,0.115952231,0.486971996,0.083574003,0.39894149,0.06771443,-0.47865286
1,0.9,0.818181818,0.212915324,0.880829456,0.086531006,0.806049108,0.198037482,0.247668456,0.13007441,0.075538113,0.803273829,0.674799714,0.165102447,-0.07294361,-0.55355805
1,0.9,0.443944748,0.160409994,0.477445081,0.11002804,0.657539569,0.359673935,0.236358437,0.074992951,0.073433401,0.549607404,0.118442497,0.806684948,0.063170165,-0.45378911
1,0.9,0.847092836,0.200535568,0.131325089,0.022370732,0.596133854,0.353510587,0.265107613,0.101296764,0.161700688,0.784332493,0.410234241,0.82002452,0.18928203,-0.37289122
1,0.6,0.772566656,0.201712724,0.085303139,0.009702678,0.838870275,0.514619399,0.30057327,0.216659088,0.134421131,0.500757115,0.194335193,0.074614673,-0.3098217,-0.7254088
1,0.9,0.738515901,0.186796996,0.064283244,0.05636421,0.841546978,0.2084222,0.25269088,0.114987724,0.094472594,0.471846437,0.312913914,0.11408895,0.009169315,-0.4084398
1,0.9,0.691615805,0.206909627,0.41880054,0.017539943,0.910888405,0.227525089,0.274562791,0.216659088,0.153523935,0.534336659,0.365312658,0.465150138,-0.16310647,-0.5417032
1,0.9,0.886283328,0.309041285,0.674419463,0.099096912,0.884607208,0.220712674,0.286753824,0.444324649,0.095472193,0.518934862,0.127086291,0.057111314,-0.24955116,0.608769
1,0.6,0.784131063,0.313559975,0.463290236,0.063397921,0.538041497,0.263426555,0.293586973,0.067617219,0.149812052,0.982161502,0.558208578,0.229795579,0.05354347,-0.38718066
1,0.6,0.109219403,0.404274114,0.782864725,0.059709888,0.841104061,0.377246774,0.487713385,0.18670622,0.107601982,0.30944145,0.10072271,0.088234633,-0.24520303,-0.47704116
1,0.6,0.381946675,0.509526063,0.084381842,0.015789953,0.499660734,0.588905926,0.614748606,0.02082386,0.125116269,0.518434048,0.421369157,0.186182267,-0.42691338,-0.7606052
1,0.9,0.73112753,0.480128705,0.702124697,0.124543587,0.905780004,0.689805687,0.427896599,0.203873135,0.103822121,0.445460413,0.153066243,0.535210702,0.22645526,-0.34499043
1,0.6,0.528750402,0.62973592,0.05137739,0.05035331,0.79736189,0.32444062,0.629185504,0.183022179,0.05100186,0.495361723,0.326093902,0.624791183,-0.033492822,-0.6081218
1,0.6,0.868615483,0.237467142,0.261271918,0.002907354,0.795875436,0.245272958,0.354022888,0.202697244,0.143390728,0.432669185,0.562450125,0.337619442,-0.12984337,-0.5871453
1,0.6,0.512046258,0.558372806,0.357913517,0.022315937,0.734700188,0.45207103,0.636422874,0.119714135,0.154355987,0.601624658,0.20136175,0.615221525,0.05939124,-0.520096
1,0.6,0.520719563,0.606191001,0.057422593,0.100393235,0.820146219,0.284959801,0.65262839,0.215150775,0.155956485,0.531329272,0.222356992,0.283191163,-0.1979284,-0.1319149
1,0.9,0.709604883,0.159697829,0.467539302,0.003948149,0.893078219,0.518699288,0.347156572,0.216659088,0.215127535,0.622759265,0.231365063,0.407417882,0.11557993,-0.42473823
1,0.9,0.493093479,0.208833489,0.493018616,0.054582944,0.926972419,0.252647777,0.416676551,0.12783492,0.161127013,0.322359862,0.410663025,0.671331331,-0.14824797,-0.64217687
1,0.6,0.79473177,0.234850791,0.142979851,0.036785635,0.731786339,0.345976297,0.451506367,0.216659088,0.150994618,0.954458201,0.485691892,0.786966016,0.16398287,-0.36827558
1,0.6,0.802120141,0.237248033,0.141869077,0.038136443,0.678087537,0.199855965,0.456199901,0.212974128,0.195509078,0.41877566,0.642129023,0.522969497,-0.16308329,-0.6255085
1,0.6,0.882428526,0.632059488,0.037290809,0.026633666,0.929656774,0.263205945,0.611635934,0.5667706,0.205245928,0.638336116,0.423151647,0.743834088,0.21192677,-0.4098582
1,0.6,0.695791841,0.206365468,0.476083333,0.168422763,0.677008105,0.382816966,0.456488482,0.086102269,0.193753304,0.495044604,0.430087324,0.571097738,0.07898723,-0.32751092
1,0.6,0.671056858,0.747519141,0.064901991,0.01211992,0.912227801,0.56686084,0.837132802,0.216659088,0.230076078,0.83711313,0.489304683,0.780926,0.10915751,-0.37432188
1,0.6,0.573723097,0.236336725,0.673924186,0.043104911,0.538356346,0.583989056,0.535764018,0.02082386,0.200435227,0.876464534,0.248725316,0.080105756,0.05573042,-0.51672864
1,0.6,0.53678124,0.646245693,0.150849385,0.039620096,0.915767939,0.225572903,0.776843584,0.160546697,0.044544973,1,0.302489528,0.654130999,0.16344969,-0.34499836
1,0.6,0.32605204,0.40428405,0.068878365,0.019277578,0.067110562,0.341769755,0.648201379,0.827624262,0.059978714,0.646475758,0.378637408,0.379519539,0.41393307,-0.16484955
1,0.6,0.635399936,0.428756377,0.339709439,0.01001567,0.798623582,0.342244765,0.631994442,0.126403816,0.21640739,0.839942729,0.431421488,0.465150138,-0.42944786,0.5620301
1,0.6,0.567940893,0.729570011,0.490495653,0.025575225,0.596160428,0.426494846,0.863915146,0.015794028,0.161958232,0.496523472,0.054479485,0.650523541,-0.27280405,-0.69755
1,0.6,0.637006103,0.502102636,0.336242859,0.155887095,0.034971372,0.226469321,0.844134983,0.172730245,0.073850647,0.926764752,0.513153236,0.427394417,0.12073448,-0.4786173
1,0.6,0.589784774,0.46424257,0.422396614,0.060124512,0.569020595,0.216448518,0.824115369,0.02082386,0.209714028,0.386996411,0.455338533,0.683896265,0.46345216,0.063563116
1,0.6,0.301638291,0.305270363,0.060320994,0.034566332,0.834963531,0.404420224,0.499616508,0.216659088,0.024066604,0.337910946,0.150535468,0.683896265,-0.017291626,-0.5742634
1,0.6,0.450048185,0.2770748,0.095217381,0.055073451,0.865941934,0.500114924,0.460512909,0.345461238,0.140632559,0.580797654,0.280901198,0.086998612,-0.057578586,-0.538717
1,0.6,0.290395117,0.205758714,0.258342342,0.058139963,0.620337229,0.448396748,0.55552591,0.021237679,0.147541163,0.418989532,0.505978882,0.162779914,0.09007934,-0.4821592
1,0.6,0.334725345,0.582834296,0.23869127,0.005683955,0.755607109,0.38353872,0.763620163,0.091186986,0.097301615,0.681255559,0.088207717,0.286148671,0.14815569,-0.39892906
1,0.6,0.285255381,0.662999363,0.457527259,0.003454501,0.781797386,0.351633153,0.796004756,0.240819624,0.058751375,0.772053789,0.150568101,0.435446465,-0.2039199,-0.6640754
1,0.6,0.220366206,0.731997305,0.370100589,0.003858419,0.858094639,0.518142961,0.870338429,0.232323308,0.155119575,0.967278781,0.604670939,0.449443893,-0.04527629,-0.5712755
1,0.6,0.292643752,0.282891002,0.342502627,0.127353092,0.718586749,0.394329652,0.557590765,0.111900734,0.148657307,0.532561924,0.45974685,0.711383864,0.24567114,-0.45871097
1,0.6,0.35785416,0.282485814,0.185439971,0.014535248,0.576300036,0.549883223,0.562387411,0.02082386,0.048758557,0.972494347,0.375388325,0.098948139,-0.27128458,-0.6698592
1,0.6,0.499839383,0.258897711,0.032365123,0.147515427,0.837340064,0.224756098,0.552835948,0.223016782,0.057979744,0.753012971,0.500429922,0.431686872,0.15100197,-0.2976704
1,0.6,0.564728558,0.557120452,0.315556423,0.006806339,0.578337998,0.371920772,0.831125284,0.065140998,0.158419469,0.45521008,0.402580256,0.431686872,0.21648063,-0.33383155
1,0.6,0.338258914,0.240030718,0.120469373,0.21623478,0.879169349,0.53641677,0.761479779,0.216659088,0.183184548,0.602884315,0.368699103,0.488984426,0.081716634,-0.39838853
1,0.6,0.553485384,0.278050666,0.552846567,0.057579796,0.697559064,0.205488755,0.569024259,0.086102269,0.149350473,0.7542587,0.458783604,0.488984426,-0.10910745,-0.5536501
1,0.6,0.875682621,0.309892594,0.375359462,0.032179158,0.784199727,0.243306793,0.555674285,0.178484429,0.059828477,0.620403037,0.121069274,0.519522784,-0.2231405,0.5763359
1,0.6,0.46867973,0.239160482,0.407649364,0.223505868,0.814241722,0.581225899,0.880120425,0.174467266,0.172276691,0.412061598,0.181405835,0.519522784,0.07956021,-0.43675676
1,0.6,0.400256987,0.255278858,0.500498224,0.129516755,0.85216322,0.598693356,0.412313388,0.270522229,0.147879308,0.606945019,0.386911423,0.714961347,-0.09119898,-0.3887987
1,0.6,0.545454545,0.271046864,0.483048832,0.00862623,0.834904402,0.553563704,0.433997127,0.167024946,0.141682302,0.927047619,0.282573076,0.714961347,0.3756405,0.20080726
1,0.6,0.575329264,0.269839195,0.488232463,0.001877906,0.588676329,0.500679637,0.490382196,0.085135888,0.052079851,0.849570887,0.40275139,0.406288222,-0.0776218,-0.682243
1,0.6,0.21522647,0.62642678,0.074841286,0.037357052,0.881533013,0.246443711,0.870011925,0.330775188,0.170856394,0.404391535,0.435852762,0.628764013,0.06498195,0.4045977
1,0.6,0.325088339,0.260550497,0.652199331,0.044488534,0.631362441,0.189971053,0.332829062,0.139316378,0.038052585,0.553945816,0.152447921,0.708251853,-0.054984037,-0.5739614
1,0.6,0.456151622,0.217448763,0.512236817,0.017853359,0.863248674,0.265016284,0.382130146,0.335907468,0.187088019,0.39528449,0.605504222,0.639922185,0.3226601,-0.35135135
1,0.6,0.443623514,0.244657646,0.471797054,0.02948533,0.462396829,0.197736042,0.398886385,0.00918969,0.098830357,0.926297261,0.366788358,0.225835352,0.16425715,-0.39440596
1,0.6,0.637969804,0.650861958,0.689157578,0.028845927,0.691435439,0.214342694,0.682175554,0.116107851,0.180866858,0.800430457,0.311055154,0.452534315,-0.21171822,-0.44379377
1,0.6,0.737230967,0.58020884,0.427371081,0.025931985,0.591284929,0.298387723,0.720416134,0.036309362,0.176928636,0.720545474,0.403432511,0.378491819,0.10723293,-0.58148676
1,0.6,0.402505622,0.612101997,0.464283426,0.042092038,0.883821964,0.348763642,0.752049383,0.222478655,0.136408078,0.7390374,0.478367084,0.269175301,0.11258707,-0.4942717
1,0.6,0.402184388,0.612298566,0.46596996,0.043728827,0.9140298,0.348308322,0.752090975,0.304743099,0.128842139,0.539945664,0.446569708,0.367553537,0.23963599,-0.20861459
1,0.6,0.813363315,0.152452126,0.020658413,0.069364904,0.736559787,0.447744034,0.315572334,0.188798699,0.044355566,0.825552955,0.371949894,0.376720198,-0.38069594,-0.599712
1,0.6,0.447478317,0.728509761,0.039449922,0.038262206,0.881077087,0.481000002,0.868154164,0.135075876,0.104384171,0.872887673,0.298707501,0.456886443,-0.13616191,-0.6431322
1,0.6,0.440089945,0.263279922,0.23935292,0.03467377,0.751263918,0.463927334,0.68965064,0.176138219,0.118867884,0.946159805,0.390064314,0.341302737,-0.12212672,-0.5385037
1,0.4,0.220044973,0.254763597,0.016089599,0.157041261,0.653633174,0.320974428,0.645398478,0.023926422,0.091579101,0.969492453,0.39540685,0.631242709,0.12474526,-0.56291896
1,0.6,0.265017668,0.479525251,0.53342279,0.012021193,0.906381042,0.290512247,0.876761159,0.216659088,0.082166992,0.82477972,0.432552453,0.600539627,0.007350097,-0.4873207
1,0.6,0.160938002,0.490970064,0.823160618,0.017982637,0.858736997,0.452690926,0.847485489,0.334940191,0.190096238,0.364974695,0.38630733,0.578682943,0.07241718,-0.55346197
1,0.6,0.763250883,0.671766441,0.381886597,0.100964655,0.86753677,0.251756342,0.827586232,0.190637567,0.07585906,0.74863716,0.561014837,0.286236417,0.10293115,-0.43589744
1,0.6,0.628332798,0.398250702,0.05963813,0.04971724,0.394049479,0.359704079,0.765564503,0.02082386,0.134448243,0.402905109,0.602291377,0.438755754,0.057790782,-0.44232923
1,0.6,0.339543848,0.635218728,0.094905724,0.106121673,0.760003517,0.218799504,0.795118296,0.214755256,0.159860473,0.407754782,0.355697649,0.113314999,0.014219908,-0.5240749
1,0.6,0.29971089,0.668212965,0.069805897,0.04024365,0.587138883,0.263426798,0.791578139,0.611741767,0.020191077,0.958669817,0.437087129,0.345263434,0.09096672,-0.4455645
1,0.6,0.329906842,0.358564961,0.588026589,0.054133973,0.557203114,0.749231359,0.874234606,0.485422477,0.028730707,0.534723264,0.529132274,0.345263434,0.1332233,-0.2667126
