flood,Density_River,Density_Road,Distan2river,Distan2road_met,NDVI,aspect,curvature,dem,flowDir,lulc,rainfall,slope,twi,NDBI,NDWI
1,8.46E-05,2.3528843,2634.6929,837.80634,0.09114601,145.7843,-16,335,16,30,446.0662,6.9875455,6.996097,0.007350097,-0.4873207
1,1.70E-04,0.2275112,2366.7795,1321.9672,0.11998816,213.69006,35,255,2,30,659.56635,3.346183,9.500396,0.07241718,-0.55346197
1,1.22E-04,2.7011793,889.31305,286.43903,0.20148113,255.96376,-3,510,4,40,615.7172,1.9147184,8.556742,0.10293115,-0.43589744
1,1.50E-04,2.0735953,3499.914,241.06192,0.14274469,322.0165,-48,274,64,10,492.98462,20.579967,7.162137,0.057790782,-0.44232923
1,1.23E-04,0.72842926,243.2447,2400.243,0.17718823,350.2176,10,272,64,10,505.70935,25.51089,7.705141,0.014219908,-0.5240749
1,4.58E-04,2.4089506,944.40814,994.3873,0.110996366,351.8699,-2,275,4,40,326.81677,3.2813458,7.4579973,0.09096672,-0.4455645
1,1.38E-04,9.568823,513.7338,405.13776,0.20800023,-1,0,743,16,80,233.80176,0,11.859108,0.1332233,-0.2667126
1,1.77E-04,1.0172359,239.77672,1997.2909,-0.09838817,-1,0,202,4,80,582.40125,0,11.859108,-0.2247191,0.47929937
1,3.84E-04,10.909903,183.20183,114.47444,0.10141275,0,3,16,2,40,1065.8462,0.4645502,8.182021,-0.14514166,-0.41829926
1,5.43E-04,10.432463,490.30728,85.99999,0.196432,198.43495,3,3,8,40,1087.2239,2.2025177,7.0278063,-0.27845806,-0.5270856
1,3.11E-04,2.0573385,30.405588,459.1702,0.081763655,315,8,253,1,80,663.4515,1.9701859,8.710025,0.1539182,-0.21470192
1,8.18E-05,8.825021,1288.3177,432.85455,0.079578236,108.43495,3,700,16,40,333.38065,1.4687471,7.4089313,0.14444445,-0.35427135
1,2.62E-04,3.195886,1278.4208,292.98196,0.22758877,297.18112,61,362,32,30,341.52444,9.571257,8.432156,-0.040233236,-0.535284
1,2.76E-04,5.757307,716.8699,179.16753,0.44129646,180,-14,503,16,10,356.0621,10.113953,7.2019124,-0.29811463,-0.7565042
1,2.78E-04,4.811366,2403.2256,0,0.08304298,299.0546,-5,196,8,40,495.00684,2.3900836,7.2976384,0.1159105,-0.32294816
1,2.22E-04,2.6597853,626.2802,70.18832,0.29645118,71.56505,-4,776,64,10,495.35086,10.885139,7.772336,-0.110968016,-0.6215539
1,1.06E-04,0.5849067,3120.5916,1955.9747,-0.04228222,-1,0,47,64,80,1088.2408,0,11.859108,-0.16317016,0.45553738
1,2.58E-04,7.9009566,1774.5195,198.22327,0.21000384,135,7,9,64,40,1150.9315,0.3284902,8.588183,0.121466555,-0.4613594
1,3.44E-04,1.9624034,3459.788,751.5804,0.14663135,329.30026,25,454,32,30,420.919,16.791084,8.143011,-0.017832266,-0.5587796
1,1.50E-04,1.1789489,2669.1016,152.02722,0.31892347,45,4,56,128,10,925.6111,2.6261098,7.82057,-0.18644889,-0.6843009
1,2.28E-04,6.049606,188.9699,42.999996,0.26591045,101.30993,6,4,64,40,940.6928,1.1842326,8.512145,-0.06577044,-0.4776454
1,5.35E-06,2.02377,6311.86,30.405588,0.115395546,156.2505,-2,368,2,40,507.36688,6.3185296,6.9888754,0.20005038,-0.29565394
1,1.14E-04,0.34497702,3775.3416,242.68199,0.22593221,220.6013,14,167,128,40,771.935,4.275084,8.9963875,0.01393971,-0.5247205
1,2.30E-04,1.3214217,2108.5479,1187.3033,0.06213295,108.43495,-4,511,32,40,490.17844,2.9355664,7.0051594,0.16448691,-0.34876168
1,6.58E-05,5.310016,5464.5093,129.74591,0.37998006,93.01279,-2,51,2,30,989.92194,4.4106984,6.97987,-0.21911955,-0.62146443
1,3.03E-04,1.9898529,3515.2231,169.58961,0.1918491,318.8141,17,246,16,30,359.09528,4.9261703,7.8937354,0.16517095,-0.38348082
1,2.50E-04,0,2558.708,6898.7026,0.16736428,228.46823,-12,491,8,10,696.4078,10.732859,7.076122,-0.18971062,-0.64444447
1,3.68E-04,6.8769274,353.29935,121.62235,0.24812582,78.69007,-1,3,1,40,1068.9735,1.1842326,6.765884,-0.20123102,-0.48794883
1,2.29E-04,1.6365782,578.91296,90.31766,0.09695341,63.434948,1,169,1,40,846.8168,2.0766673,8.851101,0.097299054,-0.43693343
1,9.98E-05,0.90972596,3624.6182,30.405588,0.11366713,286.92752,5,348,16,30,468.47855,5.5668116,7.0084553,0.1672064,-0.29946807
1,1.27E-04,2.7310138,447.37604,470.607,0.12750065,161.56505,13,500,8,30,612.5327,0.7344942,8.674256,0.17844166,-0.48702958
1,4.79E-04,13.143819,766.52893,21.499998,0.20705445,161.56505,2,11,8,40,1087.0667,2.2025177,7.027849,0.12967281,-0.41128927
1,4.05E-04,1.14182,42.999996,3042.2642,0.18277918,-1,1,319,1,30,659.5401,0,8.377175,0.05455283,-0.55971897
1,1.74E-04,0.7093595,0,188.51329,-0.05224932,157.38014,13,171,4,80,654.4054,6.017067,8.289177,0.21806167,0.3364486
1,3.13E-04,2.1601639,3289.7305,30.405588,0.079974085,39.289406,2,213,1,40,436.7153,3.2976756,8.128688,0.057467952,-0.39530918
1,4.56E-04,1.0519089,627.0102,837.80756,0.12329531,254.05461,9,310,16,40,670.63367,3.3781307,8.441919,0.24246009,-0.36712915
1,5.57E-04,12.953984,1337.846,129.74591,0.2141819,281.30994,1,9,16,40,1100.8748,1.1842326,7.8205595,0.14123932,-0.19063842
1,3.92E-04,7.441176,169.48521,56.576008,0.10307251,135,-4,4,4,40,1074.0499,0.9853842,7.127178,-0.17889027,-0.5486936
1,3.39E-04,6.9651456,452.98157,349.28,0.3111056,171.8699,-2,3,4,40,1064.8516,1.6420193,7.0834627,-0.27114624,-0.6282628
1,2.33E-04,1.1218103,227.79872,182.43353,0.12522104,248.1986,-9,357,2,30,465.43158,4.9908075,7.450547,0.16161016,-0.4058188
1,0,7.7202306,6573.7817,159.27518,0.2949044,204.44395,-1,709,8,10,366.04385,2.8044105,11.859108,-0.002291476,-0.57735306
